title,author,description,price,quantity,availability,isbn
Real-time digital signal processing based on the TMS320C6000,Nasser Kehtarnavaz,Elsevier; Newnes,658,9,false,978-8694666530
"Four Short Courses on Harmonic Analysis: Wavelets, Frames, Time-Frequency Methods, and Applications to Signal and Image Analysis",Peter Massopust,Birkhäuser Basel,732,1,false,978-9784655436
Discrete-Time Signal Processing,Buck J. R.,Detailed description of this engineering book is currently unavailable.,502,6,true,978-8151613946
"Potential Rapid Diagnostics, Vaccine and Therapeutics for 2019 Novel Coronavirus (2019-nCoV): A Systematic Review",Junxiong Pang,MDPI,224,10,true,978-6406130600
Crohn's Disease and Ulcerative Colitis: From Epidemiology and Immunobiology to a Rational Diagnostic and Therapeutic Approach,Daniel C. Baumgart (eds.),Springer International Publishing,838,8,true,978-1651596755
Atlas of Confocal Laser Scanning In-vivo Microscopy in Opthalmology - Principles and Applications in Diagnostic and Therapeutic Ophtalmology,Guthoff R.F.,Springer,319,4,true,978-5222484225
Diagnostic and Therapeutic Nuclear Medicine for Neuroendocrine Tumors,Karel Pacak,Humana Press,356,1,true,978-7324438965
Diagnostic and Therapeutic Antibodies ,Andrew J.T. George,Humana Press,244,7,true,978-9504096455
Diagnostic and Therapeutic Applications of Exosomes in Cancer,Mansoor Amiji,Detailed description of this engineering book is currently unavailable.,654,6,false,978-6162604053
Art Therapy and Ad Hd: Diagnostic and Therapeutic Approaches,Diane Stein Safran,Jessica Kingsley,783,6,false,978-5418643170
Breast Cancer: Diagnostic Imaging and Therapeutic Guidance,Uwe Fischer,Thieme Medical Publishers,386,4,true,978-2309883250
Special pathology and diagnostics: with therapeutic hints,Charles Gottlieb Raue,Detailed description of this engineering book is currently unavailable.,862,10,true,978-4172924381
"Ophthalmic Drugs: Diagnostic and Therapeutic Uses, 5th Edition",Graham Hopkins BPharm  PhD  MRPharm,Detailed description of this engineering book is currently unavailable.,421,5,true,978-8424540283
The ''Childhood Hand that Disturbs'' Projective Test: A Diagnostic and Therapeutic Drawing Test,Roseline Davido,Detailed description of this engineering book is currently unavailable.,507,7,true,978-8078877920
Lung Cancer: Diagnostic and Therapeutic Methods and Reviews,Driscoll B.,Detailed description of this engineering book is currently unavailable.,830,4,false,978-0103938006
"Biological, Diagnostic and Therapeutic Advances in Alzheimer's Disease: Non-Pharmacological Therapies for Alzheimer's Disease",Ghulam Md Ashraf,Springer Singapore,856,3,false,978-5513483388
Breast cancer : diagnostic imaging and therapeutic guidance,médecin. Uwe Fischer,Detailed description of this engineering book is currently unavailable.,901,5,true,978-5861243397
"Thymus Gland Pathology: Clinical, Diagnostic and Therapeutic Features",Corrado Lavini,Springer,832,9,false,978-9064290129
The Emotional Life Interview: A Psychosocial Diagnostic and Therapeutic Procedure,Henry,Charles C Thomas Pub Ltd,606,1,true,978-1504792334
"Diseases of the Gastro-Intestinal Tract: Some Diagnostic, Therapeutic and Fundamental Aspects",Prof. J. Dankmeijer M.D. (auth.),Springer Netherlands,915,10,false,978-1883573120
Diagnostic and Therapeutic Procedures in Gastroenterology: An Illustrated Guide,Nam Q. Nguyen MBBS(Hons),Humana Press,764,5,true,978-9209424584
Peripheral Vascular Disease: Basic Diagnostic and Therapeutic Approaches 3rd Edition,George S Abela,Lippincott Williams & Wilkins,869,10,false,978-8243257231
"Retinal Degenerations: Biology, Diagnostics, and Therapeutics",Joyce Tombran-Tink,Humana Press,663,9,true,978-7504962785
Human Modelling for Bio-Inspired Robotics. Mechanical Engineering in Assistive Technologies,Jun Ueda,Academic Press,736,9,true,978-1595834683
A New Bio-inspired Optimization Algorithm Based on the Self-defense Mechanism of Plants in Nature,Camilo Caraveo,Springer International Publishing,776,5,false,978-1334659796
"Bio-inspired structured adhesives : Biological prototypes, fabrication, tribological properties, contact mechanics, and novel concepts",Gorb,Detailed description of this engineering book is currently unavailable.,390,9,true,978-0835516185
Biological and Bio-inspired Nanomaterials: Properties and Assembly Mechanisms,Sarah Perrett,Springer Singapore,796,4,false,978-4065231104
Bio- and Chemo-Mechanical Processes in Geotechnical Engineering: Géotechnique Symposium in Print 2013,Lyesse Laloui,ICE Publishing,268,7,true,978-4462165290
Advances in Bio-Mechanical Systems and Materials,Ashkan Javadzadegan,Springer International Publishing,460,4,true,978-8151312541
Buried Waste in the Seabed; Acoustic Imaging and Bio-toxicity,Philippe Blondel,Springer,674,7,true,978-4135552014
Bio-Mechanical,Lindsey E.M.,Detailed description of this engineering book is currently unavailable.,929,8,false,978-3944509167
bio fluid mechanics,jagan n mazumdar,Detailed description of this engineering book is currently unavailable.,121,2,false,978-0201169813
"Smart system Engineering: Infra-structure Systems Engineering, Bio-informatics and Computational Biology and Evolutionary Computation",Cihan H Dagli,American Society of Mechanical Engineers,669,4,true,978-6116879026
Bio-Mechanical (Irons and Works Book 4),E.M. Lindsey [Lindsey,Detailed description of this engineering book is currently unavailable.,169,2,false,978-2385276747
IUTAM Symposium on Synthesis in Bio Solid Mechanics (Solid Mechanics and Its Applications),Pauli Pedersen,Detailed description of this engineering book is currently unavailable.,494,7,false,978-8744196453
Advances in bio-mechanical systems and materials,Altenbach,Springer,988,1,false,978-5140673896
"Personal Protective Equipment for Chemical, Biological, and Radiological Hazards: Design, Evaluation, and Selection",Eva F. Gudgin Dickson,Wiley,944,10,true,978-7100820478
Detection of Nuclear and Radiological Weapons,Philips Gary W.,Detailed description of this engineering book is currently unavailable.,233,9,true,978-0120761440
Nuclear Weapons Effects - Radiological Scientific Officers Hanbook,Unknown Author,Detailed description of this engineering book is currently unavailable.,899,2,false,978-9437260741
X-ray equipment maintenance and repairs workbook for radiographers and radiological technologists,Ian R. McClelland,Detailed description of this engineering book is currently unavailable.,406,2,true,978-9998353270
Medical management of radiological casualties. Handbook,Jacocks J. (Ed.),Detailed description of this engineering book is currently unavailable.,245,5,true,978-7548583210
Highway engineering handbook: building and rehabilitating the infrastructure,Roger Brockenbrough,McGraw-Hill,111,5,false,978-2002578792
"Bridge Engineering: Rehabilitation, and Maintenance of Modern Highway Bridges",Demetrios Tonias,McGraw-Hill Professional,214,1,false,978-4794356040
"Case studies of rehabilitation, repair, retrofitting, and strengthening of structures",International Association for Bridge and Structural Engineering,International Association for Bridge and Structural Engineering,793,7,false,978-6499757131
Advanced Dam Engineering For Design Construction And Rehabilitation  ,R.B. Jansen,Springer,474,8,true,978-0396815841
"Advanced Dam Engineering for Design, Construction, and Rehabilitation",Robert B. Jansen (auth.),Springer US,170,7,false,978-1853516148
"Bridge decks : design, construction, rehabilitation, replacement",Neal H Bettigole,Amer Society of Civil Engineers,242,4,true,978-1385531141
Advances in Structural Engineering and Rehabilitation: Select Proceedings of TRACE 2018,Sondipon Adhikari,Springer Singapore,306,4,false,978-5713002603
Seismic rehabilitation of existing buildings,American Society of Civil Engineers,American Society of Civil Engineers,778,4,false,978-9648386230
"Repair and rehabilitation of reinforced concrete structures : the state of the art : proceedings of the international seminar, workshop and exhibition, Maracaibo, Venezuela, April 28-May 1, 1997",National Science Foundation (U. S.),American Society of Civil Engineers,1000,10,true,978-0114449593
An Introduction to Rehabilitation Engineering,Rory A Cooper,CRC Press,240,2,true,978-6022451045
"Road pavement material characterization and rehabilitation : selected papers from the 2009 GeoHunan International Conference, August 3-6, 2009, Changsha, Hunan, China",American Society of Civil Engineers,Geo Institute of American Society of Civil Engineers,214,1,true,978-7223425559
"New technologies in construction and rehabilitation of Portland cement concrete pavement and bridge deck pavement : selected papers from the 2009 GeoHunan International Conference, August 3-6, 2009, Changsha, Hunan, China",Moon Won,American Society of Civil Engineers,351,3,false,978-0605782974
"Geotechnical Engineering for Disaster Mitigation and Rehabilitation: Proceedings of the 2nd International Conference GEDMAR08, Nanjing,China",Han-Long Liu,Detailed description of this engineering book is currently unavailable.,809,3,true,978-9042315328
Rehabilitation engineering applied to mobility and manipulation / Rory A. Cooper,Rory A Cooper,Institute of Physics Pub,858,4,false,978-2880557122
Highway engineering handbook : building and rehabilitating the infrastructure,R  L Brockenbrough,McGraw-Hill ,386,1,true,978-2005688301
Manhole Inspection and Rehabilitation,John B. Hughes,American Society of Civil Engineers,224,1,true,978-2371289413
"Pipelines 2017: Construction and rehabilitation: proceedings of sessions of the Pipelines 2017 Conference, August 6-9, 2017, Phoenix, Arizona",Geisbush,American Society of Civil Engineers,875,7,true,978-3619495630
Manhole Inspection and Rehabilitation,Hughes,American Society of Civil Engineers (ASCE),337,5,false,978-7400113026
Introduction to Neural Engineering for Motor Rehabilitation,Dario Farina,Wiley-IEEE Press,631,10,true,978-2701830170
"Bridge Engineering: Rehabilitation, and Maintenance of Modern Highway Bridges",Demetrios Tonias,McGraw-Hill Professional,207,5,true,978-0478209199
Principles of Geotechnical Engineering,Braja M. Das,Cengage,370,6,true,978-9728717099
Engineering Geology,Subinoy Gangopadhyay,Oxford University Press,980,10,false,978-7751568819
Civil engineering hydraulics: essential theory with worked examples,R. E. Featherstone,Blackwell Science,543,2,false,978-5679536048
"Geotechnical Engineering: Soil and Foundation Principles and Practice, 5th Ed.",Richard Handy,McGraw-Hill Education,155,9,false,978-2181242159
Geotechnical Investigation Methods: A Field Guide for Geotechnical Engineers,Roy E. Hunt,CRC Press,287,2,true,978-9173249650
Soil Mechanics in Engineering Practice,Karl Terzaghi,Wiley-Interscience,568,5,false,978-5138688805
Water Chemistry: An Introduction to the Chemistry of Natural and Engineered Aquatic Systems  ,Patrick Brezonik,"Oxford University Press, USA",118,9,false,978-8435225463
"3D Printed Science Projects: Physics, Math, Engineering and Geology Models",Joan Horvath,Apress,293,9,true,978-9339967845
Rock Slope Engineering: Civil and Mining,Duncan C. Wyllie,Spon Press,521,9,false,978-4557215353
Fundamentals of Drilling Engineering,Mitchell R.F.,Detailed description of this engineering book is currently unavailable.,498,1,false,978-8480951907
Rock Mechanics and Engineering,C. Jaeger,Cambridge University Press,467,8,false,978-6773997715
Groundwater Quantity and Quality Management,Aral,American Society of Civil Engineers,267,1,true,978-3019334502
Engineering Geology - Principles and Practice,David George Price,Springer,908,6,false,978-1066093573
Earth and Rock-Fill Dams: General Design and Construction Considerations,U. S. Army Corps of Engineers,University Press of the Pacific,614,1,true,978-4022674967
"Principles of Foundation Engineering, SI Edition",Braja M. Das,Cengage Learning Emea,934,6,true,978-2570549215
"Geology: Basics for Engineers, Second Edition",Aurèle Parriaux,Taylor & Francis Group,776,3,false,978-8329667313
Practical Engineering Geology,Steve Hencher,Spon Press,266,9,true,978-8858577500
Geologic Hazards: A Field Guide for Geotechnical Engineers,Roy E. Hunt,CRC Press,266,8,false,978-6580147828
Drilling engineering,Jamal J Azar,PennWell Corp,876,7,false,978-9681456577
"Nuclear Geophysics: Applications in Hydrology, Hydrogeology, Engineering Geology, Agriculture and Environmental Science",V.I. Ferronsky (auth.),Springer International Publishing,444,5,false,978-3939978456
Fundamentals of Building Construction: Materials  and Methods,Edward Allen,Wiley,711,8,true,978-9500986307
"Fundamentals Of Building Construction: Materials And Methods, 7th Edition",Edward Allen,John Wiley & Sons,971,2,false,978-3537339718
Solutions Manual for Mechanics of Materials in SI Units,Russell C. Hibbeler,Pearson,404,1,true,978-0293424501
Materials for Civil and Construction Engineers,Michael S. Mamlouk,Pearson Canada,360,7,false,978-1425555431
Construction Databook: Construction Materials and Equipment,Sidney Levy,McGraw-Hill Professional,588,10,false,978-6811910201
